<<<<<<< HEAD
ID_Categoria,ID_Empleado,Nº Inventario,Nº Activo Fijo,Nombre,Marca,Modelo,Nº Serie,Descripción,Precio,Fecha de compra,Foto,Observaciones
2,1,5.001E+11,51510044059,COMPUTADORA DE ESCRITORIO INCLUYE MONITOR,705G3,HEWLETT PACKARD,MXL7351V3J,Sin descripción,123,22/09/2015,Sin foto,Observación de prueba
2,1,5.001E+11,51510044053,COMPUTADORA DE ESCRITORIO INCLUYE MONITOR,705G3,HEWLETT PACKARD,MXL7351V2W,Sin descripción,534,22/09/2015,Sin foto,Observación de prueba
2,1,5.001E+11,51510026891,CPUVOSTRO 260 ST,DELL,VOSTRO 260,CZHFNS1,Sin descripción,987,22/09/2015,Sin foto,Observación de prueba
2,1,5.001E+11,51510043316,COMPUTADORA DE ESCRITORIO,DELL,AIO OPTIPLEX 32,22WLB02,Sin descripción,123,22/09/2015,Sin foto,Observación de prueba
2,1,5.00101E+11,51510044168,IMPRESORA 3D,ZORTRAX,M200,ZE38FB367,Sin descripción,555,22/09/2015,Sin foto,Observación de prueba
2,1,5.00102E+11,51510047006,Monitor led 19.5,QM19100,QIAN,QXHX1951806150387,Sin descripción,600.3,22/09/2015,Sin foto,Observación de prueba
1,1,1.013E+11,51110150679,SILLON EJECUTIVO, , , ,Sin descripción,645.6,22/09/2015,Sin foto,Observación de prueba
1,1,1.006E+11,51110089871,ESCRITORIO DE MADERAESTACION DE TRABAJO DE 1.60X120X75 CON PEDESTAL PA,GENERICO,OFIPLAN,GENERICO,Sin descripción,690.9,22/09/2015,Sin foto,Observación de prueba
2,1,2.004E+11,56510002130,APARATO TELEFONICOCON FUENTE DE ALIMENTACION DE ENERGIA,ALCATEL,4018,FCN00908506525,Sin descripción,736.2,22/09/2015,Sin foto,Observación de prueba
2,1,5.00102E+11,51510043744,MULTIFUNCIONAL,HEWLETT PACKARD,M176N,CNG7JD3J16,Sin descripción,781.5,22/09/2015,Sin foto,Observación de prueba
1,1,1.002E+11,51110089975,ARCHIVERO DE MADERA VERTICAL DE 4 GAVETAS DE 48X50X1.37 ACABADO EN ME,OFIPLAN,GENERICO,GENERICO,Sin descripción,826.8,22/09/2015,Sin foto,Observación de prueba
1,1,0,0,Estante de madera de 5 espacios,Generico,Generico, ,Sin descripción,872.1,22/09/2015,Sin foto,Observación de prueba
2,1,5.001E+11,51510040906,CPUTODO EN UNO MACCORE I5 8GB 500GB PANTALLA 21.5,APPLE,IMAC,C02NPNHQF8J2,Sin descripción,917.4,22/09/2015,Sin foto,Observación de prueba
2,1,5.001E+11,51510000084,COMPUTADORA DE ESCRITORIO,DELL,INSPIRON 7459,H80FB02,Sin descripción,962.7,22/09/2015,Sin foto,Observación de prueba
1,1,3.003E+11,52910006828,PINTARRONAVANTE CUADRICULADO DE 1.50X90 CM,GENERICO,GENERICO,GENERICO,Sin descripción,1008,22/09/2015,Sin foto,Observación de prueba
1,1,1.008E+11,51110089890,LIBRERO DE MADERA BAJO DE .80 X .50 X .75 ABIERTO CON ENTREPA√ëOS CO,GENERICO,OFIPLAN,GENERICO,Sin descripción,1053.3,22/09/2015,Sin foto,Observación de prueba
1,1,1.008E+11,51110089927,LIBRERO DE MADERABAJO DE .80 X.50 X .75 CON 2 PUERTAS Y ENTREPA√ëO C,G12LIN80CPCC,OFIPLAN,GENERICO,Sin descripción,1098.6,22/09/2015,Sin foto,Observación de prueba
2,1,2.1001E+12,53110000016,C√ÅMARA CCD LINEAL MONTAJE EN CCAMARA CCD MARCA THORLABS,THORLABS,CCD,4103027999,Sin descripción,1143.9,22/09/2015,Sin foto,Observación de prueba
1,1,3.00202E+11,53110008437,MESA DE LABORATORIOMESA OPTICA,NEWPORT,900430020,1608729,Sin descripción,1189.2,22/09/2015,Sin foto,Observación de prueba
2,1,5.001E+11,51510043315,COMPUTADORA DE ESCRITORIO,DELL,AIO OPTIPLEX 32,H2WLB02,Sin descripción,1234.5,22/09/2015,Sin foto,Observación de prueba
