ID_Subcategoria,Nombre,Descripción,,,,,
1,Desktop,Computadora de escritorio convencional con CPU,,,,,
1,Laptop,Computadora portatil en las categorias: laptop y ultrabook,,,,,
1,Servidor,Computadora especializada para el alto rendimiento,,,,,
1,Mini-PC,"Computadora de formato pequeño tipo: Raspberry PI, Intel NUC o Apple Mini",,,,,
1,All-In-One,Computadora en la cual el CPU está embebido en un case junto al monitor,,,,,
2,Impresora 3D ,Impresora encargada de imprimir objetos en tercera dimensión,,,,,
2,Impresora laser,Impresora con tecnologia láser para imprimir,,,,,
2,Multifuncional ,"Impresora con tecnología de titna o láser capaz de imprimir, copiar y scanear documentos",,,,,
2,Telefono IP ,Teléfono configurable con una red interna al cual se le asigna una dirección IP,,,,,
2,Telefono convencional,Teléfono alámbrico o inalámbrico para casa u oficina,,,,,
12,Cámara fotografica,Dispositivo fabricado únicamente para capturar fotografías,,,,,
12,Cámara de video ,Dispositivo fabricado para grabar videos,,,,,
12,Cámara multifuncional ,Dispositivo fabricado para capturar fotografías y videos,,,,,
7,Pantalla LED,Pantallas o monitores con tecnología LED en su matriz ,,,,,
7,Pantalla LCD,Pantallas o monitos con tecnología LCD,,,,,
7,Pantalla Plasma,Pantallas  o monitores con tecnología Plasma,,,,,
3,Dron programable ,Dron programable para tareas en específico,,,,,
3,Dron modular ,Dron con la capacidad de intercambiar sus partes de manera sencilla ,,,,,
22,Unidad de estado sólido,Dispositivo de almacenamiento de datos de memoria flash,,,,,
22,Disco duro ,Dispotivios de almacenamiento de datos mediante discos magnéticos,,,,,
22,Memoria USB ,Dispositivo de almacenamiento con tecnología Flash en formato USB,,,,,
22,Micro SD,Dispositivo de almacenamiento con tecnología Flash en formato MicroSD,,,,,
13,Sillón ejecutivo ,Sillón tipo ejecutivo,,,,,
13,Sillón taburete ,Sillón tipo taburete,,,,,
13,Sillón rinconero ,Sillón tipo rinconero,,,,,
13,Sillón modular ,Sillón modular compuesto de diferentes piezas,,,,,
14,Escritorio de madera ,Escritorio construido con madera,,,,,
14,Escritorio de metal ,Escritorio con estructura de metal,,,,,
14,Escritorio ejecutivo ,Escrotiro tipo ejecutivo,,,,,
15,Archivero de madera,Archivero construido completamente de madera,,,,,
15,Archivero de metal ,Archivero construido completamente de metal,,,,,
15,Archivero escolar ,Archivero tipo escolar,,,,,
16,Estante de madera,Estante construido completamente con madera,,,,,
16,Estante de metal ,Estante construido completamente con madera,,,,,
17,Pizarrón blanco ,Pizarrón blanco para salón de clases,,,,,
17,Pizarrón cuadriculado,Pizarrón blanco con cuadricula guía,,,,,
17,Pizarrón de cristal ,Pizarrón transparente hecho de vidrio,,,,,
18,Librero bajo ,Librero de tamaño reducido,,,,,
18,Librero modular ,Librero constituido de varias partes separables e intercambiables,,,,,
18,Librero empotrado ,Librero asegurado o empotrado a la pared,,,,,
19,Mesa redonda ,Mesa con forma redonda,,,,,
19,Mesa de madera ,Mesa construida con madera,,,,,
19,Mesa de metal ,Mesa construida con metal,,,,,
19,Mesa de plastico ,Mesa construida con plástico,,,,,
21,Banco de metal ,Banco construido con metal,,,,,
21,Banco de madera ,Banco construido con madera,,,,,
21,Banco de plastico ,Banco construido de plástico,,,,,
20,Silla metalica ,Silla construida con metal,,,,,
20,Silla de madera ,Silla construida con madera,,,,,
20,Silla ejecutiva ,Silla tipo ejecutivo,,,,,
20,Silla de plastico ,Silla construida con plástico,,,,,
20,Silla secretarial ,Silla tipo secretarial,,,,,
25,Anaquel de madera,Anaquel construido mayormente con madera,,,,,
25,Anaquel de metal,Anaquel construido mayormente metal,,,,,
24,Diadema ,Diadema para audífonos,,,,,
24,Audifonos inalambricos ,Audífonos de tipo inalámbricos con tecnología Bluetooth o WiFi para la transmisión de datos,,,,,
24,Auriculares ,Audífonos de tipo alámbricos con jack de 3.5mm,,,,,
